# T2: Spiral galaxy with 300 Gaussians
# Dense core + 4 spiral arms + globular clusters + field stars
# Format: x y sigma r g b

0.1580 0.6692 0.0205 0.9987 0.2215 0.2822
0.1029 0.6240 0.0162 0.9964 0.2017 0.3042
0.1393 0.6746 0.0120 0.9929 0.1827 0.3266
0.0814 0.5936 0.0267 0.9883 0.1644 0.3495
0.0750 0.5906 0.0177 0.9826 0.1469 0.3727
0.1070 0.4996 0.0252 0.9757 0.1302 0.3962
0.4991 0.5590 0.0119 1.0000 0.2523 0.2502
0.4981 0.5393 0.0292 0.9994 0.2316 0.2714
0.4764 0.6132 0.0251 0.9977 0.2115 0.2931
0.4908 0.5860 0.0229 0.9948 0.1921 0.3153
0.4719 0.5761 0.0221 0.9908 0.1735 0.3380
0.4596 0.5999 0.0119 0.9856 0.1556 0.3610
0.4375 0.6069 0.0250 0.9793 0.1385 0.3844
0.4288 0.6046 0.0164 0.9718 0.1222 0.4080
0.4438 0.5889 0.0213 0.9633 0.1068 0.4319
0.4185 0.6123 0.0128 0.9537 0.0924 0.4558
0.4141 0.6117 0.0257 0.9430 0.0789 0.4800
0.3594 0.6109 0.0106 0.9313 0.0663 0.5041
0.3882 0.6076 0.0185 0.9185 0.0548 0.5282
0.3539 0.5984 0.0212 0.9048 0.0444 0.5523
0.3607 0.5778 0.0227 0.8902 0.0349 0.5763
0.3460 0.5491 0.0272 0.8746 0.0266 0.6000
0.3077 0.5768 0.0135 0.8582 0.0194 0.6236
0.2895 0.5287 0.0257 0.8410 0.0133 0.6468
0.3128 0.5598 0.0263 0.8229 0.0083 0.6697
0.2857 0.5471 0.0215 0.8041 0.0045 0.6922
0.2609 0.5010 0.0213 0.7846 0.0019 0.7143
0.2592 0.4826 0.0126 0.7644 0.0004 0.7359
0.2397 0.4925 0.0194 0.7436 0.0000 0.7569
0.2006 0.4406 0.0164 0.7222 0.0009 0.7773
0.2620 0.4291 0.0297 0.7003 0.0029 0.7971
0.2190 0.3942 0.0265 0.6780 0.0060 0.8161
0.2281 0.3778 0.0143 0.6552 0.0103 0.8345
0.2535 0.3375 0.0166 0.6321 0.0158 0.8520
0.2430 0.3782 0.0299 0.6086 0.0224 0.8688
0.2254 0.2762 0.0139 0.5849 0.0301 0.8846
0.2488 0.2877 0.0103 0.5610 0.0389 0.8996
0.2681 0.2048 0.0203 0.5370 0.0487 0.9137
0.2986 0.2126 0.0289 0.5129 0.0596 0.9267
0.2830 0.1989 0.0246 0.4887 0.0716 0.9388
0.3048 0.1663 0.0167 0.4646 0.0845 0.9499
0.3755 0.1074 0.0211 0.4406 0.0985 0.9599
0.3515 0.0941 0.0290 0.4166 0.1133 0.9688
0.4094 0.1303 0.0270 0.3929 0.1291 0.9767
0.4408 0.0823 0.0148 0.3695 0.1457 0.9834
0.4133 0.0705 0.0266 0.3463 0.1632 0.9890
0.4613 0.5032 0.0295 0.5008 0.0655 0.9329
0.4440 0.5022 0.0192 0.4767 0.0780 0.9445
0.4265 0.4873 0.0121 0.4526 0.0914 0.9550
0.4139 0.4897 0.0123 0.4286 0.1058 0.9645
0.4499 0.4821 0.0101 0.4048 0.1211 0.9729
0.4110 0.4719 0.0284 0.3812 0.1373 0.9802
0.4018 0.4544 0.0148 0.3579 0.1543 0.9864
0.4098 0.4552 0.0220 0.3349 0.1722 0.9914
0.4062 0.4289 0.0179 0.3123 0.1908 0.9953
0.4022 0.4216 0.0289 0.2901 0.2101 0.9980
0.4190 0.4244 0.0248 0.2685 0.2301 0.9996
0.4102 0.3609 0.0264 0.2473 0.2508 1.0000
0.4272 0.3720 0.0178 0.2268 0.2720 0.9992
0.3956 0.3553 0.0271 0.2069 0.2938 0.9973
0.4169 0.3725 0.0241 0.1877 0.3160 0.9942
0.4123 0.3129 0.0198 0.1692 0.3387 0.9900
0.4592 0.2682 0.0222 0.1515 0.3617 0.9846
0.4374 0.2885 0.0121 0.1346 0.3851 0.9781
0.4583 0.3066 0.0115 0.1185 0.4087 0.9704
0.4772 0.2509 0.0152 0.1033 0.4325 0.9617
0.5086 0.2376 0.0198 0.0891 0.4565 0.9519
0.5299 0.2672 0.0261 0.0758 0.4806 0.9411
0.5218 0.2054 0.0248 0.0635 0.5048 0.9292
0.5351 0.2257 0.0138 0.0523 0.5289 0.9163
0.6157 0.2714 0.0296 0.0420 0.5530 0.9024
0.6384 0.2291 0.0128 0.0329 0.5769 0.8876
0.6394 0.2578 0.0121 0.0248 0.6007 0.8719
0.6419 0.2287 0.0114 0.0179 0.6242 0.8553
0.6198 0.2589 0.0244 0.0120 0.6475 0.8379
0.6908 0.2754 0.0284 0.0073 0.6704 0.8198
0.7834 0.2622 0.0299 0.0038 0.6929 0.8008
0.8040 0.2602 0.0245 0.0014 0.7149 0.7812
0.8003 0.2752 0.0281 0.0002 0.7365 0.7609
0.7717 0.2616 0.0237 0.0001 0.7575 0.7400
0.8073 0.2645 0.0215 0.0012 0.7779 0.7185
0.8503 0.3053 0.0214 0.0035 0.7976 0.6966
0.8727 0.3764 0.0228 0.0069 0.8167 0.6741
0.9375 0.4454 0.0172 0.0115 0.8350 0.6513
0.9227 0.3777 0.0165 0.0172 0.8525 0.6281
0.9201 0.4040 0.0228 0.0241 0.8692 0.6046
0.5058 0.4312 0.0211 0.0000 0.7471 0.7505
0.5123 0.4169 0.0137 0.0005 0.7678 0.7293
0.5071 0.4504 0.0176 0.0022 0.7878 0.7076
0.5232 0.4329 0.0163 0.0051 0.8072 0.6854
0.5343 0.3944 0.0293 0.0091 0.8259 0.6628
0.5471 0.3945 0.0246 0.0142 0.8439 0.6397
0.5535 0.4205 0.0178 0.0205 0.8610 0.6164
0.5519 0.4096 0.0249 0.0279 0.8773 0.5928
0.5533 0.4318 0.0272 0.0364 0.8927 0.5689
0.6009 0.3835 0.0193 0.0460 0.9072 0.5449
0.5886 0.3970 0.0186 0.0567 0.9207 0.5208
0.6089 0.4029 0.0268 0.0683 0.9333 0.4967
0.6077 0.4149 0.0210 0.0810 0.9448 0.4726
0.6533 0.4037 0.0186 0.0947 0.9553 0.4485
0.6700 0.4314 0.0117 0.1093 0.9648 0.4245
0.6833 0.4183 0.0166 0.1248 0.9731 0.4007
0.7222 0.4498 0.0214 0.1412 0.9804 0.3772
0.7259 0.4437 0.0124 0.1585 0.9865 0.3539
0.7178 0.4485 0.0149 0.1765 0.9915 0.3310
0.7254 0.4658 0.0157 0.1953 0.9954 0.3085
0.7479 0.4922 0.0110 0.2148 0.9981 0.2864
0.7381 0.5117 0.0157 0.2349 0.9996 0.2648
0.7521 0.5090 0.0104 0.2557 1.0000 0.2438
0.7768 0.5525 0.0217 0.2771 0.9992 0.2234
0.7629 0.5997 0.0254 0.2990 0.9972 0.2036
0.7804 0.5912 0.0276 0.3213 0.9941 0.1845
0.7438 0.6428 0.0245 0.3441 0.9898 0.1661
0.7799 0.6702 0.0287 0.3672 0.9844 0.1485
0.7670 0.6983 0.0116 0.3906 0.9779 0.1318
0.7434 0.7463 0.0194 0.4143 0.9702 0.1159
0.7564 0.7269 0.0164 0.4382 0.9615 0.1009
0.7093 0.7661 0.0261 0.4622 0.9516 0.0868
0.6894 0.8012 0.0154 0.4863 0.9407 0.0737
0.6933 0.7564 0.0226 0.5121 0.9280 0.0608
0.6898 0.8411 0.0163 0.5362 0.9150 0.0498
0.6897 0.8339 0.0294 0.5602 0.9011 0.0398
0.6444 0.8504 0.0236 0.5841 0.8862 0.0309
0.6262 0.8762 0.0175 0.6078 0.8704 0.0231
0.5704 0.9135 0.0180 0.6313 0.8537 0.0164
0.5251 0.9546 0.0280 0.6544 0.8363 0.0108
0.2232 0.1986 0.0068 0.8277 0.7555 0.6547
0.1688 0.1754 0.0124 0.7683 0.8863 0.4843
0.1910 0.1911 0.0104 0.8024 0.6122 0.6188
0.1949 0.2262 0.0140 0.9422 0.8775 0.6946
0.1844 0.2421 0.0095 0.8693 0.7499 0.6392
0.1803 0.1972 0.0102 0.9980 0.6598 0.4343
0.2153 0.2265 0.0082 0.8368 0.7952 0.5613
0.2105 0.2013 0.0119 0.9459 0.8456 0.6423
0.8549 0.1118 0.0097 0.7256 0.8061 0.4820
0.8049 0.1403 0.0128 0.8395 0.6730 0.5567
0.8429 0.1366 0.0063 0.7541 0.8632 0.4165
0.7841 0.1354 0.0132 0.8850 0.6707 0.6639
0.8305 0.2086 0.0113 0.8425 0.8749 0.4783
0.8045 0.1938 0.0144 0.9964 0.8482 0.6066
0.7358 0.2013 0.0116 0.8258 0.6106 0.5964
0.7879 0.1603 0.0103 0.8099 0.8569 0.4973
0.1627 0.8016 0.0142 0.9075 0.7014 0.4008
0.1568 0.8504 0.0111 0.9834 0.6692 0.4371
0.1533 0.8110 0.0136 0.9276 0.7815 0.6548
0.1140 0.8459 0.0084 0.8930 0.8586 0.5726
0.1304 0.7676 0.0071 0.8775 0.8109 0.5037
0.1057 0.7630 0.0083 0.7525 0.6647 0.4855
0.1684 0.7824 0.0108 0.9019 0.6679 0.5872
0.1036 0.7885 0.0098 0.7241 0.6215 0.4440
0.8339 0.7196 0.0076 0.7526 0.6141 0.4256
0.8059 0.7571 0.0148 0.7828 0.7274 0.5108
0.8593 0.7667 0.0074 0.9162 0.7874 0.5578
0.7944 0.7634 0.0076 0.8502 0.8519 0.6716
0.9111 0.7331 0.0133 0.7968 0.7546 0.6144
0.8867 0.7560 0.0118 0.9804 0.8001 0.4449
0.8845 0.8174 0.0149 0.7485 0.6562 0.6079
0.8377 0.7788 0.0149 0.7943 0.6661 0.4788
0.5135 0.9183 0.0128 0.7517 0.6343 0.6977
0.4753 0.9737 0.0073 0.7819 0.6481 0.4276
0.4924 0.9251 0.0096 0.7579 0.7957 0.6882
0.4836 0.8968 0.0117 0.9219 0.7546 0.6706
0.5065 0.9335 0.0131 0.8505 0.6148 0.4246
0.5073 0.9152 0.0075 0.8516 0.7762 0.4161
0.5057 0.8802 0.0083 0.8306 0.7949 0.4482
0.4560 0.8755 0.0091 0.7038 0.7630 0.4982
0.2811 0.5847 0.0120 0.7917 0.7753 0.7640
0.6203 0.5971 0.0121 0.8524 0.7930 0.9813
0.3200 0.7988 0.0131 0.7211 0.7640 0.7537
0.4467 0.3790 0.0072 0.7772 0.7147 0.8584
0.5641 0.4162 0.0120 0.8439 0.8659 0.7115
0.9788 0.8808 0.0106 0.7850 0.7156 0.8239
0.2865 0.4203 0.0058 0.8487 0.8043 0.7320
0.3885 0.1111 0.0090 0.7970 0.7359 0.9805
0.7870 0.0705 0.0119 0.7092 0.7257 0.7658
0.1167 0.1237 0.0074 0.7775 0.9504 0.9261
0.7172 0.7426 0.0111 0.7298 0.7206 0.7877
0.9555 0.2320 0.0122 0.8191 0.9634 0.7610
0.5898 0.5094 0.0073 0.8140 0.8893 0.7710
0.0246 0.0304 0.0124 0.8148 0.9544 0.7000
0.1108 0.5629 0.0125 0.7931 0.7395 0.7723
0.6343 0.8328 0.0056 0.9780 0.9924 0.9941
0.2484 0.1663 0.0135 0.8933 0.7749 0.7580
0.6997 0.7747 0.0086 0.9463 0.9772 0.8179
0.3185 0.5394 0.0130 0.7174 0.9387 0.9184
0.7109 0.2570 0.0078 0.7069 0.9560 0.9775
0.9791 0.9605 0.0074 0.8998 0.8052 0.8489
0.5073 0.9652 0.0093 0.9675 0.8310 0.8491
0.3847 0.2434 0.0135 0.7787 0.8679 0.7081
0.7363 0.5675 0.0070 0.9305 0.9158 0.8943
0.6379 0.4245 0.0122 0.9660 0.7855 0.7764
0.8373 0.2081 0.0139 0.8735 0.9160 0.9182
0.2554 0.2712 0.0132 0.7920 0.7361 0.9303
0.2528 0.8162 0.0133 0.9481 0.8980 0.7044
0.4734 0.0470 0.0109 0.7650 0.9920 0.7512
0.0218 0.2129 0.0053 0.9763 0.8139 0.9957
0.0899 0.7469 0.0113 0.8277 0.8809 0.7250
0.3553 0.8198 0.0128 0.7594 0.8932 0.8240
0.8667 0.7307 0.0080 0.8768 0.8309 0.7108
0.5308 0.4090 0.0127 0.8989 0.7941 0.7901
0.9300 0.7198 0.0128 0.7419 0.8488 0.9209
0.3975 0.7787 0.0063 0.7344 0.7478 0.7384
0.6045 0.5122 0.0081 0.9811 0.8614 0.8622
0.5743 0.3570 0.0052 0.8610 0.8644 0.7449
0.3267 0.5688 0.0073 0.9635 0.8631 0.7719
0.9179 0.8089 0.0078 0.8727 0.7907 0.8996
